Name,Quantity,Component
"U1",1," Arduino Uno R3"
"S1",1," Pushbutton"
"D1",1,"Red LED"
"R1, R2",2,"1 kΩ Resistor"
"K1",1," Relay DPDT"
"U2",1," LCD 16 x 2"
"S2",1," Slideswitch"
"Rpot1",1,"250 kΩ Potentiometer"
"DIST1",1," Ultrasonic Distance Sensor"
